,ticker,name_en,category,sub_category,name_cn
84,88,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),TAI CHEUNG HOLD
85,89,TAI SANG LAND,Equity,Equity Securities (Main Board),大生地產
86,90,AMBER ENERGY,Equity,Equity Securities (Main Board),琥珀能源
87,91,INT'L STD RES,Equity,Equity Securities (Main Board),標準資源控股
88,92,CHAMPIONTEC-NEW,Equity,Equity Securities (Main Board),CHAMPION TECH
89,93,TERMBRAY IND,Equity,Equity Securities (Main Board),TERMBRAY IND
90,94,GREENHEART GP,Equity,Equity Securities (Main Board),綠心集團
91,95,LVGEM CHINA,Equity,Equity Securities (Main Board),綠景中國地產
92,96,YUSEI,Equity,Equity Securities (Main Board),ＹＵＳＥＩ
93,97,HENDERSON INV,Equity,Equity Securities (Main Board),恒基發展
94,98,XINGFA ALUM,Equity,Equity Securities (Main Board),興發鋁業
95,99,WONG'S INT'L,Equity,Equity Securities (Main Board),王氏國際
96,100,CLEAR MEDIA,Equity,Equity Securities (Main Board),白馬戶外媒體
97,101,HANG LUNG PPT,Equity,Equity Securities (Main Board),恒隆地產
98,102,SUMMIT ASCENT,Equity,Equity Securities (Main Board),凱升控股
99,103,SHOUGANG CENT,Equity,Equity Securities (Main Board),首長寶佳
100,104,ASIA COMM HOLD,Equity,Equity Securities (Main Board),ASIA COMM HOLD
101,105,ASSO INT HOTELS,Equity,Equity Securities (Main Board),凱聯國際酒店
102,106,LANDSEA PPT,Equity,Equity Securities (Main Board),朗詩綠色地產
103,107,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),四川成渝高速公路
104,108,GR PROPERTIES,Equity,Equity Securities (Main Board),國銳地產
105,109,GOODRESOURCES,Equity,Equity Securities (Main Board),天成國際
106,110,CHINA FORTUNE,Equity,Equity Securities (Main Board),中國長遠
107,111,CINDA INTL HLDG,Equity,Equity Securities (Main Board),信達國際控股
108,112,LT COMM REALEST,Equity,Equity Securities (Main Board),勒泰商業地產
109,113,DICKSON CONCEPT,Equity,Equity Securities (Main Board),迪生創建
110,114,HERALD HOLD,Equity,Equity Securities (Main Board),HERALD HOLD
111,115,GRAND FIELD GP,Equity,Equity Securities (Main Board),鈞濠集團
112,116,CHOW SANG SANG,Equity,Equity Securities (Main Board),周生生
113,117,TIANLI HOLDINGS,Equity,Equity Securities (Main Board),天利控股集團
114,118,COSMOS MACH,Equity,Equity Securities (Main Board),大同機械
115,119,POLY PROPERTY,Equity,Equity Securities (Main Board),保利置業集團
116,120,COSMOPOL INT'L,Equity,Equity Securities (Main Board),COSMOPOL INT'L
117,121,C.P. LOTUS,Equity,Equity Securities (Main Board),卜蜂蓮花
118,122,CROCODILE,Equity,Equity Securities (Main Board),鱷魚恤
119,123,YUEXIU PROPERTY,Equity,Equity Securities (Main Board),越秀地產
120,124,GD LAND,Equity,Equity Securities (Main Board),粵海置地
121,125,SUN HING VISION,Equity,Equity Securities (Main Board),新興光學
122,126,CARRIANNA,Equity,Equity Securities (Main Board),佳寧娜
123,127,CHINESE EST H,Equity,Equity Securities (Main Board),華人置業
124,128,ENM HOLDINGS,Equity,Equity Securities (Main Board),安寧控股
125,129,ASIA STANDARD,Equity,Equity Securities (Main Board),泛海集團
126,130,MOISELLE INT'L,Equity,Equity Securities (Main Board),慕詩國際
127,131,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),卓能（集團）
128,132,CHINA INV HOLD,Equity,Equity Securities (Main Board),中國興業控股
129,133,CHINA MERCHANTS,Equity,Investment Companies,招商局中國基金
130,135,KUNLUN ENERGY,Equity,Equity Securities (Main Board),昆侖能源
131,136,HENGTEN NET,Equity,Equity Securities (Main Board),恒騰網絡
132,137,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),金輝集團
133,138,CCT FORTIS,Equity,Equity Securities (Main Board),中建富通
134,139,CH SOFT POWER,Equity,Equity Securities (Main Board),中國軟實力
135,141,GREAT CHINA,Equity,Equity Securities (Main Board),大中華集團
136,142,FIRST PACIFIC,Equity,Equity Securities (Main Board),第一太平
137,143,GUOAN INTL,Equity,Equity Securities (Main Board),國安國際
