,index,lead_ticker,lag_ticker,n,cc,p,lead_to_lag,validation,path
88,3693,DBE,SGG,90,-0.297908,0.0197104,-1,,
89,3724,DBE,WOOD,90,-0.301621,0.0181616,-1,,
90,3726,DBE,XLF,90,-0.283016,0.0270985,-1,,
91,3764,ECH,EIS,90,-0.315531,0.0132483,-1,,
92,3773,ECH,EWD,90,-0.388538,0.00197241,-1,,
93,3774,ECH,EWG,90,-0.264401,0.0394832,-1,invalid,ECH>EWN>SMH>SKYY>EWG
94,3775,ECH,EWH,90,-0.305696,0.0165828,-1,,
95,3781,ECH,EWN,90,-0.261816,0.0415252,-1,invalid,ECH>SKYY>EWN
96,3785,ECH,EWS,90,-0.289633,0.0235697,-1,,
97,3792,ECH,FAN,90,-0.269872,0.0354342,-1,invalid,ECH>SKYY>FAN
98,3793,ECH,FDN,90,-0.28391,0.0265972,-1,,
99,3849,ECH,MCHI,90,-0.270039,0.0353163,-1,invalid,ECH>EWD>MCHI
100,3874,ECH,SKYY,90,-0.316967,0.0128132,-1,,
101,3881,ECH,SPY,90,-0.307088,0.0160711,-1,,
102,3898,ECH,VNQI,90,-0.252485,0.0496334,-1,,
103,3906,ECH,XLK,90,-0.324065,0.0108397,-1,invalid,ECH>EWD>XLK
104,3909,ECH,XLV,90,-0.25804,0.0446637,-1,,
105,3917,EDEN,AGND,90,-0.260735,0.0424042,-1,invalid,EDEN>EWO>AGND
106,3953,EDEN,EWH,90,-0.278229,0.0299198,-1,,
107,3960,EDEN,EWO,90,-0.252396,0.0497167,-1,,
108,3986,EDEN,GRID,90,-0.257094,0.0454803,-1,,
109,4027,EDEN,MCHI,90,-0.277151,0.0305882,-1,,
110,4055,EDEN,SMH,90,-0.402878,0.00128601,-1,,
111,4060,EDEN,TAN,90,-0.385622,0.0021467,-1,,
112,4074,EDEN,VNM,90,-0.26511,0.0389379,-1,,
113,4084,EDEN,XLK,90,-0.295515,0.0207665,-1,,
114,4095,EFNL,AGND,90,-0.326022,0.0103441,-1,invalid,EFNL>TUR>AGND
115,4123,EFNL,EPHE,90,-0.275051,0.0319255,-1,,
116,4136,EFNL,EWM,90,-0.288703,0.0240406,-1,,
117,4141,EFNL,EWS,90,-0.294853,0.0210674,-1,,
118,4149,EFNL,FDN,90,-0.334174,0.00848519,-1,,
119,4171,EFNL,ICLN,90,-0.389465,0.0019197,-1,,
120,4182,EFNL,IYC,90,-0.337131,0.00788681,-1,,
121,4230,EFNL,SKYY,90,-0.38327,0.00229714,-1,,
122,4233,EFNL,SMH,90,-0.329991,0.00939915,-1,invalid,EFNL>SKYY>SMH
123,4237,EFNL,SPY,90,-0.300322,0.018691,-1,,
124,4238,EFNL,TAN,90,-0.37026,0.00331228,-1,invalid,EFNL>ICLN>TAN
125,4243,EFNL,TUR,90,-0.277358,0.0304588,-1,,
126,4252,EFNL,VNM,90,-0.371955,0.00316076,-1,invalid,EFNL>SKYY>VNM
127,4256,EFNL,VWO,90,-0.258736,0.0440707,-1,,
128,4262,EFNL,XLK,90,-0.470039,0.000132324,-1,,
129,4266,EFNL,XLY,90,-0.427691,0.000585919,-1,,
130,4276,EIDO,BIL,90,-0.29073,0.0230239,-1,invalid,EIDO>EWP>RSX>BIL
131,4317,EIDO,EWP,90,-0.279782,0.0289784,-1,,
132,4326,EIDO,FAN,90,-0.292359,0.0222329,-1,invalid,EIDO>EWP>RSX>FAN
133,4335,EIDO,FXC,90,-0.256459,0.0460346,-1,,
134,4349,EIDO,ICLN,90,-0.299084,0.0192079,-1,invalid,EIDO>EWP>RSX>ICLN
135,4394,EIDO,PGAL,90,-0.307145,0.0160503,-1,,
136,4421,EIDO,TUR,90,-0.265093,0.0389508,-1,,
137,4527,EIRL,ICLN,90,-0.267477,0.0371622,-1,,
138,4608,EIRL,VNM,90,-0.288769,0.0240068,-1,,
139,4665,EIS,EWH,90,-0.294483,0.0212371,-1,invalid,EIS>KSA>EWH
140,4675,EIS,EWS,90,-0.255945,0.0464876,-1,,
141,4676,EIS,EWT,90,-0.258034,0.0446691,-1,,
142,4710,EIS,IGV,90,-0.253473,0.048718,-1,,
143,4733,EIS,KSA,90,-0.273733,0.0327897,-1,,
144,4807,EMB,AGND,90,-0.32085,0.0116984,-1,,
145,4906,EMB,JO,90,-0.257601,0.0450409,-1,,
146,5061,ENZL,ICLN,90,-0.262222,0.041199,-1,invalid,ENZL>TAN>ICLN
147,5128,ENZL,TAN,90,-0.327807,0.00990938,-1,,
148,5216,EPHE,FAN,90,-0.298504,0.0194543,-1,invalid,EPHE>ICLN>FAN
149,5239,EPHE,ICLN,90,-0.327617,0.00995484,-1,,
150,5262,EPHE,JO,90,-0.338158,0.00768788,-1,,
151,5267,EPHE,KSA,90,-0.273197,0.0331467,-1,,
152,5484,EPOL,TAN,90,-0.275995,0.0313181,-1,,
153,5522,EPP,BIL,90,-0.308563,0.0155436,-1,invalid,EPP>FUE>CWB>YCS>EIDO>BIL
154,5572,EPP,FAN,90,-0.272117,0.0338755,-1,,
155,5578,EPP,FUE,90,-0.320686,0.0117436,-1,,
156,5641,EPP,PHO,90,-0.255368,0.0470003,-1,,
157,5645,EPP,PZD,90,-0.253,0.0491549,-1,,
158,5657,EPP,SMH,90,-0.275865,0.0314016,-1,,
159,5676,EPP,VNM,90,-0.325667,0.0104324,-1,invalid,EPP>SMH>SKYY>VNM
160,5722,EPU,EIS,90,-0.344577,0.00654034,-1,,
161,5741,EPU,EWP,90,-0.320195,0.0118803,-1,,
162,5750,EPU,FAN,90,-0.25499,0.0473391,-1,invalid,EPU>EWP>RSX>FAN
163,5771,EPU,IAI,90,-0.274597,0.0322208,-1,,
164,5797,EPU,KBE,90,-0.283302,0.0269373,-1,,
165,5800,EPU,KRE,90,-0.279579,0.0291001,-1,,
166,5824,EPU,QABA,90,-0.274443,0.0323219,-1,,
167,5854,EPU,VNM,90,-0.29176,0.0225212,-1,,
168,5886,EWA,CIBR,90,-0.310504,0.0148724,-1,,
169,5928,EWA,FAN,90,-0.31311,0.0140103,-1,,
170,5929,EWA,FDN,90,-0.287464,0.0246806,-1,invalid,EWA>FUE>FDN
171,5934,EWA,FUE,90,-0.423965,0.000661885,-1,,
172,5951,EWA,ICLN,90,-0.279937,0.0288863,-1,invalid,EWA>FUE>ICLN
173,5955,EWA,IGN,90,-0.27013,0.035252,-1,,
174,5961,EWA,ITB,90,-0.257971,0.0447229,-1,,
175,5997,EWA,PHO,90,-0.265998,0.0382631,-1,,
176,6001,EWA,PZD,90,-0.335579,0.00819616,-1,,
177,6013,EWA,SMH,90,-0.301577,0.0181796,-1,,
178,6032,EWA,VNM,90,-0.271604,0.0342266,-1,invalid,EWA>IGN>PBJ>EWJ>VNM
179,6141,EWC,IYG,90,-0.288934,0.0239231,-1,,
180,6153,EWC,KBE,90,-0.276932,0.0307251,-1,,
181,6156,EWC,KRE,90,-0.260631,0.0424901,-1,,
182,6180,EWC,QABA,90,-0.261215,0.0420119,-1,,
183,6208,EWC,UUP,90,-0.312521,0.0142011,-1,invalid,EWC>QABA>EWH>UUP
184,6210,EWC,VNM,90,-0.261145,0.0420692,-1,,
185,6218,EWC,XLF,90,-0.324249,0.0107922,-1,,
186,6267,EWD,EWH,90,-0.299162,0.0191752,-1,invalid,EWD>ICLN>EWH
187,6285,EWD,FDN,90,-0.258716,0.0440884,-1,,
188,6307,EWD,ICLN,90,-0.296525,0.0203151,-1,invalid,EWD>TAN>ICLN
189,6341,EWD,MCHI,90,-0.303641,0.0173637,-1,,
190,6366,EWD,SKYY,90,-0.35184,0.00542546,-1,invalid,EWD>SMH>SKYY
191,6369,EWD,SMH,90,-0.3269,0.0101283,-1,,
192,6374,EWD,TAN,90,-0.305724,0.0165724,-1,,
193,6388,EWD,VNM,90,-0.340816,0.007193,-1,,
194,6390,EWD,VNQI,90,-0.263662,0.0400581,-1,invalid,EWD>SMH>SKYY>VNQI
195,6398,EWD,XLK,90,-0.317624,0.0126184,-1,,
196,6406,EWD,YCS,90,-0.292471,0.0221795,-1,invalid,EWD>FDN>YCS
197,6482,EWG,HYG,90,-0.262166,0.0412438,-1,invalid,EWG>IYK>HYG
198,6498,EWG,IYK,90,-0.267833,0.0369005,-1,,
199,6529,EWG,PEJ,90,-0.253836,0.0483849,-1,invalid,EWG>TAN>PEJ
200,6547,EWG,SMH,90,-0.369971,0.00333877,-1,,
201,6552,EWG,TAN,90,-0.354365,0.00507913,-1,invalid,EWG>IYK>EWJ>FUE>TAN
202,6566,EWG,VNM,90,-0.343107,0.00678902,-1,,
203,6576,EWG,XLK,90,-0.252095,0.0499993,-1,invalid,EWG>IYK>EWJ>FUE>XLK
204,6584,EWG,YCS,90,-0.361462,0.00420756,-1,,
205,6590,EWH,BIL,90,-0.255457,0.0469214,-1,invalid,EWH>YCS>EIDO>BIL
206,6742,EWH,UUP,90,-0.33405,0.0085112,-1,,
207,6762,EWH,YCS,90,-0.306621,0.0162413,-1,,
208,6770,EWI,BKLN,90,-0.260751,0.0423914,-1,,
209,6801,EWI,EWH,90,-0.263249,0.0403822,-1,,
210,6875,EWI,MCHI,90,-0.254429,0.0478449,-1,,
211,6885,EWI,PEJ,90,-0.28936,0.0237069,-1,,
212,6900,EWI,SKYY,90,-0.259167,0.0437077,-1,,
213,6922,EWI,VNM,90,-0.304558,0.0170116,-1,,
214,7002,EWJ,FUE,90,-0.262914,0.0406472,-1,,
215,7040,EWJ,JJT,90,-0.274225,0.032465,-1,,
216,7081,EWJ,SMH,90,-0.32088,0.01169,-1,,
217,7100,EWJ,VNM,90,-0.296292,0.0204185,-1,,
218,7264,EWK,TAN,90,-0.271038,0.0346175,-1,,
219,7278,EWK,VNM,90,-0.284601,0.0262151,-1,,
220,7311,EWL,CORN,90,-0.260037,0.0429807,-1,,
221,7480,EWM,BIL,90,-0.268047,0.0367445,-1,invalid,EWM>YCS>EIDO>BIL
222,7528,EWM,EWZ,90,-0.258884,0.0439459,-1,,
223,7632,EWM,UUP,90,-0.298133,0.0196133,-1,,
224,7652,EWM,YCS,90,-0.301829,0.018078,-1,,
225,7793,EWN,SMH,90,-0.277311,0.0304879,-1,,
226,7830,EWN,YCS,90,-0.280518,0.0285414,-1,,
227,7833,EWO,AGND,90,-0.292212,0.0223037,-1,,
228,7838,EWO,BKLN,90,-0.34428,0.00658988,-1,,
229,7888,EWO,FLM,90,-0.308043,0.0157281,-1,,
230,7906,EWO,HYG,90,-0.261057,0.0421412,-1,,
231,7909,EWO,ICLN,90,-0.311209,0.0146347,-1,invalid,EWO>BKLN>BNO>DBB>CWB>YCS>EIDO>ICLN
232,7925,EWO,JETS,90,-0.275151,0.0318606,-1,,
233,7943,EWO,MCHI,90,-0.337244,0.00786483,-1,,
234,7963,EWO,RSX,90,-0.320897,0.0116852,-1,,
235,7971,EWO,SMH,90,-0.282254,0.0275321,-1,invalid,EWO>RSX>SMH
236,7976,EWO,TAN,90,-0.312714,0.0141383,-1,,
237,7994,EWO,VWO,90,-0.321023,0.0116506,-1,,
238,8141,EWP,RSX,90,-0.261151,0.0420642,-1,,
239,8225,EWQ,EWH,90,-0.337616,0.0077924,-1,invalid,EWQ>ICLN>EWH
240,8265,EWQ,ICLN,90,-0.292766,0.022039,-1,,
241,8327,EWQ,SMH,90,-0.360162,0.00435658,-1,,
242,8332,EWQ,TAN,90,-0.397627,0.00150733,-1,,
243,8346,EWQ,VNM,90,-0.268469,0.0364382,-1,invalid,EWQ>TAN>VNM
244,8364,EWQ,YCS,90,-0.255698,0.0467072,-1,,
245,8370,EWS,BIL,90,-0.30009,0.018787,-1,invalid,EWS>YCS>EIDO>BIL
246,8542,EWS,YCS,90,-0.345018,0.00646739,-1,,
247,8720,EWT,YCS,90,-0.299769,0.0189205,-1,,
248,8799,EWU,ICLN,90,-0.350954,0.00555184,-1,invalid,EWU>TAN>ICLN
249,8866,EWU,TAN,90,-0.286585,0.0251438,-1,,
250,8954,EWW,FAN,90,-0.293137,0.0218639,-1,invalid,EWW>ICLN>FAN
251,8977,EWW,ICLN,90,-0.271686,0.0341707,-1,,
252,8994,EWW,JJC,90,-0.265451,0.0386778,-1,,
253,8996,EWW,JJN,90,-0.269698,0.0355574,-1,,
254,9004,EWW,KRE,90,-0.256159,0.046299,-1,invalid,EWW>XLY>KRE
255,9028,EWW,QABA,90,-0.280092,0.028794,-1,,
256,9056,EWW,UUP,90,-0.260546,0.0425601,-1,invalid,EWW>QABA>EWH>UUP
257,9072,EWW,XLY,90,-0.254423,0.0478508,-1,,
258,9082,EWY,BIL,90,-0.2537,0.0485099,-1,invalid,EWY>IYK>EWJ>FUE>CWB>YCS>EIDO>BIL
259,9168,EWY,IYK,90,-0.276241,0.0311617,-1,,
260,9254,EWY,YCS,90,-0.281515,0.0279578,-1,invalid,EWY>IYK>EWJ>FUE>CWB>YCS
261,9257,EWZ,AGND,90,-0.28563,0.0256545,-1,invalid,EWZ>TUR>AGND
262,9282,EWZ,EIS,90,-0.272961,0.033305,-1,,
263,9310,EWZ,FAN,90,-0.281464,0.0279875,-1,invalid,EWZ>ICLN>FAN
264,9333,EWZ,ICLN,90,-0.315807,0.0131635,-1,,
265,9357,EWZ,KBE,90,-0.268896,0.03613,-1,,
266,9360,EWZ,KRE,90,-0.266101,0.0381858,-1,,
267,9384,EWZ,QABA,90,-0.296464,0.020342,-1,invalid,EWZ>TUR>QABA
268,9405,EWZ,TUR,90,-0.261927,0.0414357,-1,,
269,9435,EZA,AGND,90,-0.278667,0.0296518,-1,,
270,9460,EZA,EIS,90,-0.27351,0.0329376,-1,,
271,9469,EZA,EWD,90,-0.29181,0.0224969,-1,,
272,9488,EZA,FAN,90,-0.381847,0.00239273,-1,,
273,9511,EZA,ICLN,90,-0.331427,0.00907623,-1,invalid,EZA>YCS>EIDO>ICLN
274,9526,EZA,IYT,90,-0.282458,0.0274155,-1,,
275,9539,EZA,KSA,90,-0.375262,0.00288256,-1,invalid,EZA>EIS>KSA
276,9561,EZA,PZD,90,-0.294863,0.0210627,-1,,
277,9562,EZA,QABA,90,-0.265562,0.0385935,-1,,
278,9610,EZA,YCS,90,-0.276427,0.0310436,-1,,
279,9794,FDN,BIL,90,-0.26122,0.0420079,-1,invalid,FDN>IYK>EWJ>FUE>CWB>YCS>EIDO>BIL
280,9880,FDN,IYK,90,-0.282615,0.0273257,-1,,
281,9909,FDN,PBJ,90,-0.261104,0.0421028,-1,,
282,9946,FDN,UUP,90,-0.27265,0.0335146,-1,,
283,9959,FDN,XLP,90,-0.338914,0.00754417,-1,,
284,9966,FDN,YCS,90,-0.436671,0.000434248,-1,,
285,10212,FLOT,GDX,90,-0.336297,0.00805181,-1,invalid,FLOT>GLD>GDX
286,10213,FLOT,GLD,90,-0.323721,0.0109287,-1,,
287,10214,FLOT,GLTR,90,-0.3442,0.00660346,-1,invalid,FLOT>GLD>GLTR
288,10264,FLOT,PALL,90,-0.260649,0.0424752,-1,,
289,10271,FLOT,PPLT,90,-0.277468,0.0303899,-1,invalid,FLOT>^VIX>PPLT
290,10281,FLOT,SIL,90,-0.295623,0.020718,-1,,
291,10283,FLOT,SLV,90,-0.275855,0.031408,-1,invalid,FLOT>GLD>SLV
292,10323,FLOT,^VIX,90,-0.285112,0.0259356,-1,,
293,10477,FM,UNG,90,-0.263298,0.0403441,-1,,
294,10594,FUD,IYT,90,-0.294372,0.0212882,-1,,
295,10695,FUE,CWB,90,-0.271821,0.0340779,-1,,
296,10710,FUE,EPOL,90,-0.313818,0.0137837,-1,,
297,10735,FUE,FDN,90,-0.340856,0.00718581,-1,,
298,10749,FUE,GREK,90,-0.365934,0.0037289,-1,,
299,10757,FUE,ICLN,90,-0.30955,0.0151993,-1,invalid,FUE>EPOL>TAN>ICLN
300,10783,FUE,KOL,90,-0.291551,0.0226224,-1,,
301,10788,FUE,LIT,90,-0.346822,0.0061761,-1,invalid,FUE>GREK>LIT
302,10791,FUE,MCHI,90,-0.429505,0.00055189,-1,,
303,10820,FUE,SOCL,90,-0.322517,0.0112458,-1,,
304,10824,FUE,TAN,90,-0.442343,0.000357852,-1,,
305,10825,FUE,TAO,90,-0.438332,0.000410472,-1,invalid,FUE>XLK>TAO
306,10840,FUE,VNQI,90,-0.345367,0.00641012,-1,,
307,10842,FUE,VWO,90,-0.352581,0.00532172,-1,,
308,10848,FUE,XLK,90,-0.284263,0.0264011,-1,,
309,10870,FXA,CIBR,90,-0.274971,0.0319775,-1,invalid,FXA>SLV>CIBR
310,10912,FXA,FAN,90,-0.303303,0.017495,-1,,
311,10913,FXA,FDN,90,-0.294005,0.0214576,-1,invalid,FXA>FUE>FDN
312,10918,FXA,FUE,90,-0.386392,0.00209937,-1,,
313,10935,FXA,ICLN,90,-0.438996,0.000401294,-1,invalid,FXA>FUE>ICLN
314,10940,FXA,IGV,90,-0.271027,0.0346252,-1,,
315,10945,FXA,ITB,90,-0.263715,0.0400163,-1,invalid,FXA>SLV>ITB
316,10985,FXA,PZD,90,-0.295232,0.0208949,-1,,
317,10995,FXA,SLV,90,-0.254525,0.0477584,-1,,
318,10997,FXA,SMH,90,-0.330018,0.0093928,-1,,
319,10998,FXA,SOCL,90,-0.294224,0.0213564,-1,invalid,FXA>FUE>SOCL
320,11002,FXA,TAN,90,-0.378048,0.00266538,-1,,
321,11016,FXA,VNM,90,-0.281949,0.027707,-1,invalid,FXA>IGV>EWG>VNM
322,11095,FXB,FUD,90,-0.353686,0.00517032,-1,,
323,11102,FXB,GDX,90,-0.379549,0.00255453,-1,,
324,11103,FXB,GLD,90,-0.256481,0.046015,-1,,
325,11171,FXB,SIL,90,-0.290965,0.022908,-1,,
326,11215,FXC,AGND,90,-0.344152,0.0066115,-1,,
327,11270,FXC,FLM,90,-0.265857,0.0383701,-1,,
328,11303,FXC,IYG,90,-0.277839,0.0301603,-1,,
329,11315,FXC,KBE,90,-0.252219,0.0498825,-1,,
330,11370,FXC,UUP,90,-0.257868,0.0448116,-1,invalid,FXC>XLF>EWH>UUP
331,11378,FXC,WOOD,90,-0.271271,0.0344562,-1,,
332,11380,FXC,XLF,90,-0.297302,0.0199734,-1,,
333,11398,FXE,BKLN,90,-0.419275,0.000770131,-1,,
334,11413,FXE,ECH,90,-0.351357,0.00549414,-1,,
335,11421,FXE,EPHE,90,-0.256735,0.0457932,-1,,
336,11426,FXE,EWC,90,-0.345549,0.00638039,-1,,
337,11427,FXE,EWD,90,-0.252833,0.0493097,-1,invalid,FXE>ECH>EWD
338,11469,FXE,ICLN,90,-0.343897,0.00665436,-1,,
339,11487,FXE,JJG,90,-0.253093,0.0490689,-1,,
340,11501,FXE,LQD,90,-0.268233,0.0366092,-1,,
341,11508,FXE,NORW,90,-0.304833,0.016907,-1,,
342,11523,FXE,RSX,90,-0.321832,0.0114298,-1,,
343,11527,FXE,SIL,90,-0.291077,0.0228536,-1,,
344,11536,FXE,TAN,90,-0.334329,0.008453,-1,,
345,11554,FXE,VWO,90,-0.274183,0.0324924,-1,invalid,FXE>WOOD>IYK>EWJ>FUE>VWO
346,11555,FXE,WEAT,90,-0.324274,0.0107858,-1,,
347,11556,FXE,WOOD,90,-0.286148,0.0253763,-1,,
348,11560,FXE,XLK,90,-0.272189,0.0338268,-1,,
349,11570,FXF,AGG,90,-0.316361,0.0129952,-1,,
350,11591,FXF,ECH,90,-0.397774,0.00150071,-1,,
351,11597,FXF,EMB,90,-0.27242,0.0336698,-1,,
352,11636,FXF,GDX,90,-0.427212,0.000595226,-1,,
353,11637,FXF,GLD,90,-0.434582,0.000465939,-1,invalid,FXF>TLT>GLD
354,11638,FXF,GLTR,90,-0.437322,0.000424777,-1,,
355,11648,FXF,IEF,90,-0.289418,0.0236777,-1,,
356,11649,FXF,IEI,90,-0.337709,0.00777422,-1,,
357,11665,FXF,JJG,90,-0.372735,0.00309305,-1,,
358,11670,FXF,JO,90,-0.262949,0.0406197,-1,,
359,11679,FXF,LQD,90,-0.373964,0.00298908,-1,invalid,FXF>IEI>LQD
360,11686,FXF,NORW,90,-0.323351,0.0110254,-1,,
361,11695,FXF,PPLT,90,-0.276158,0.0312145,-1,invalid,FXF>WEAT>PPLT
362,11705,FXF,SIL,90,-0.410891,0.00100422,-1,,
363,11707,FXF,SLV,90,-0.460565,0.000187753,-1,invalid,FXF>IEI>SLV
364,11712,FXF,SOYB,90,-0.276157,0.0312152,-1,,
365,11717,FXF,TIP,90,-0.257479,0.045146,-1,,
366,11718,FXF,TLT,90,-0.290449,0.0231626,-1,,
367,11727,FXF,VCSH,90,-0.337672,0.00778155,-1,invalid,FXF>IEI>VCSH
368,11733,FXF,WEAT,90,-0.351349,0.00549521,-1,,
369,11749,GDX,AGND,90,-0.289705,0.0235333,-1,,
370,11769,GDX,ECH,90,-0.308437,0.0155883,-1,,
371,11783,GDX,EWD,90,-0.263172,0.0404433,-1,invalid,GDX>ECH>EWD
372,11803,GDX,FDN,90,-0.312963,0.0140576,-1,,
373,11825,GDX,ICLN,90,-0.343462,0.00672814,-1,invalid,GDX>SIL>ICLN
374,11830,GDX,IGV,90,-0.272194,0.0338237,-1,,
375,11864,GDX,NORW,90,-0.25591,0.0465187,-1,,
